"description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"Love America, love life and live one day at a time",14897,699,15770,773,NA,"wendy pool","2011-02-28 23:16:45",FALSE,FALSE,"baaambi85","USA","en",258995059,4,FALSE,"http://pbs.twimg.com/profile_images/885593095047450626/oQD9N_nd_normal.jpg"
"Books Entertainment Fashion & Beauty Fitness & Wellness Food General News Lifestyle Movies News Politics US News Television",4148,34,4629,157,NA,"Ruby Butler","2017-07-30 22:53:50",FALSE,FALSE,"RubyBut62864046","Kentucky, USA","en",891793989644537856,0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"CoastalMED DPC is a work in progress, a DPC IM practice concept to provide outstanding, comprehensive, individualized care for an affordable monthly fee.",262,28,458,42,NA,"CoastalMED DPC","2017-08-26 21:13:21",FALSE,FALSE,"CoastalMEDDPC","Florida, USA","en",901553173185404928,0,FALSE,"http://pbs.twimg.com/profile_images/963617390402535424/MY39f8xU_normal.jpg"
"Creekview Nurse @Creekvw_Tweets #Middierising",45,27,512,39,NA,"Nurse Kim","2017-08-16 02:20:17",FALSE,FALSE,"Nurse_Kim_","Ohio, USA","en",897644148509073408,0,FALSE,"http://pbs.twimg.com/profile_images/965939244500910081/iZ95lTS-_normal.jpg"
"X Special  Forces-Former Action Guy- Likes everything outdoors.",49462,881,28838,620,NA,"Roger L.Routh","2017-02-02 20:53:25",FALSE,FALSE,"routh_l","Oklahoma, USA","en",827258643905077248,5,FALSE,"http://pbs.twimg.com/profile_images/853955948922064896/3nD-V-rA_normal.jpg"
"Left of Liberal, Truth over Party, Hippie, Save the Planet -New Technology, Anti War & Deep State",53428,661,25799,443,NA,"Marsha Elam","2016-02-20 23:35:35",FALSE,FALSE,"marzhanel","New Mexico, USA","en",701188479305166848,42,FALSE,"http://pbs.twimg.com/profile_images/817450468708225025/UPGBTlCL_normal.jpg"
"Professional Business Services Provider and International Business Consulting for the Corporate Industry. For Visas, Expedited Passports & Intn'l Docs Services.",803,355,1020,1559,"http://t.co/R3LdPAFJ2J","Andy Smiley","2011-12-07 05:48:35",FALSE,FALSE,"AndySmiley1","USA","en",430454667,4,FALSE,"http://pbs.twimg.com/profile_images/958890621082595328/e2LGGOVD_normal.jpg"
"I love sharing and educating others what natural solutions have changed my life and how you can get started.",67,29,3,73,"https://t.co/F1G0DdOHkS","anoint with Gods creation","2018-02-04 00:28:37",FALSE,FALSE,"anointedGodscre","Pennsylvania, USA","en",959946758557192192,0,FALSE,"http://pbs.twimg.com/profile_images/959991891944267776/Td1AhmU7_normal.jpg"
"ListenGive connects #Humanity with whats important to them | #Innovation #Youth #Arts #Culture #Music #Tourism #GlobalGoals #SocialImpact | RTs <U+2260> Endorsements",28513,1654,8334,4361,"https://t.co/zoCrrSxPaW","ListenGive","2011-04-01 20:54:37",FALSE,FALSE,"listengive","USA | Europe | Asia | GLOBAL <U+2708>","en",275708863,203,FALSE,"http://pbs.twimg.com/profile_images/898554339555520512/GpSRQl0t_normal.jpg"
"white and nerdy",26,31,45,160,NA,"Larissa Keller","2018-01-13 02:39:02",FALSE,FALSE,"larissa_akeller","California, USA","en",952007049260408832,1,FALSE,"http://pbs.twimg.com/profile_images/952015000498929665/YBmvAKJv_normal.jpg"
"Lover of all things social media, content marketing, & communications. Poster of quotes that are not my own.",43694,510,2868,1609,NA,"Paul Rees","2017-04-09 21:02:50",FALSE,FALSE,"PaulRees45","Georgia, USA","en",851178612829061120,42,FALSE,"http://pbs.twimg.com/profile_images/853018833157668864/duC_Bxf0_normal.jpg"
"Search consultant - entrepreneur, strategist, start-ups, new technology ventures",40469,678,2782,1804,NA,"Steven Davidson","2017-04-09 11:25:48",FALSE,FALSE,"StevenDavidso3","California, USA","en",851033398747566080,42,FALSE,"http://pbs.twimg.com/profile_images/853007835994611713/QB25tOya_normal.jpg"
"",8,9,12,35,NA,"a.khadija","2018-01-20 23:04:25",FALSE,FALSE,"akhadija4","Florida, USA","en",954852142686392320,0,FALSE,"http://pbs.twimg.com/profile_images/954908651566792704/7qcO_o5F_normal.jpg"
"I'm just a girl living in captivity",16510,315,3179,481,NA,"Tigerlily","2015-04-13 21:06:39",FALSE,FALSE,"its_a_jungle_","USA","en",3153564774,105,FALSE,"http://pbs.twimg.com/profile_images/885583990178107396/WyBjNTha_normal.jpg"
"Dale Loberger writes about High Performance Emergency Medical Services to help improve the effectiveness of clinical care with a focus on economic efficiency.",51769,13366,16746,781,"http://t.co/OKtUEgj6Ll","High Performance EMS","2011-01-06 18:22:54",FALSE,FALSE,"hp_ems","USA","en",234844432,326,FALSE,"http://pbs.twimg.com/profile_images/931533326409715712/bwS9QCwh_normal.jpg"
"Owner of Ally+kat Blogger. Plus size girl. 
lifestyle blogger. 

<U+21A3> Ally+Kat <U+21A2>",995,317,2720,297,"https://t.co/PMr5LL3nqX","Ally+Kat","2017-06-13 05:02:10",FALSE,FALSE,"Allyvkat","Florida, USA","en",874492065589190656,2,FALSE,"http://pbs.twimg.com/profile_images/956238835880472578/olO2e7PS_normal.jpg"
"Bardy Dx® has created a new, state-of-the-art heart monitor known as Carnation Ambulatory Monitor (CAM™) that can be worn comfortably and discreetly.",859,785,261,237,"https://t.co/cX1WgXAYtf","Bardy Diagnostics","2016-10-24 15:39:58",FALSE,FALSE,"bardydx","North Carolina, USA","en",790578589280243712,2,FALSE,"http://pbs.twimg.com/profile_images/790582887397531648/LWElR6s2_normal.jpg"
"sp:@y100515 ig:@yasmin.muaaa",298,84,858,69,NA,"Yasminnn <ed><U+00A0><U+00BE><ed><U+00B5><U+0080>","2017-06-13 23:12:16",FALSE,FALSE,"yasmin_muaaa","Washington, USA","en",874766397276012544,0,FALSE,"http://pbs.twimg.com/profile_images/954050038065373184/E0YxHCCU_normal.jpg"
"<U+270D><U+FE0F> I Manage 6 Facebook Pages  And 2 Facebook Groups, One Of Which Has 780 Members. <ed><U+00A0><U+00BD><ed><U+00B3><U+009D> #BackwoodsBlogger ~ #TruthSpeak  ~ #ForTheLoveOfWriting! <U+2764><U+FE0F>",76373,5769,1926,2626,"https://t.co/GVLEUbV1vW","The Pink Meow ~=^o.o^=~","2009-06-27 04:27:12",FALSE,FALSE,"ShellyRaihala","Born In Renton, Washington State, USA, In 1963; Graduated From Renton High School, In 1981. Childhood Home Is At: 442 Burnett Avenue North.","en",51344981,414,FALSE,"http://pbs.twimg.com/profile_images/971454878600982528/pY_RVH7U_normal.jpg"
"Edu",19536,287,4133,261,NA,"NM-HUBS","2017-05-23 01:29:24",FALSE,FALSE,"glengeraghty4","Ponce, USA","en",866828376291540992,1,FALSE,"http://pbs.twimg.com/profile_images/867008375032352770/VwwEv8py_normal.jpg"
"News Reporter for @WWLP22News| Masters from @EmersonCollege| lover of the arts| be the best version of you| thoughts are my own | retweets are not endorsements",926,210,132,232,"https://t.co/hEKb6gUnbr","Ciara Speller","2016-08-24 01:00:25",FALSE,FALSE,"CiaraSpeller","Massachusetts, USA","en",768251581003292672,2,FALSE,"http://pbs.twimg.com/profile_images/893869187147452420/vUEzorX__normal.jpg"
"I'm unique, just like everyone else. Boston Red Sox fan, photography.  Trying to help protect/save animals as best I can.",6202,454,2673,924,NA,"Stewart Guilford","2017-02-27 01:57:03",FALSE,FALSE,"StewartGuilford","Maine, USA","en",836032365860376576,2,FALSE,"http://pbs.twimg.com/profile_images/940871022294831105/TKzSktsi_normal.jpg"
"Shock me, shock me, shock me with that deviant behavior!",1362,34,2562,128,NA,"Sabrina Shore","2015-05-21 17:37:53",FALSE,FALSE,"brina4892","Wisconsin, USA","en",3222562303,1,FALSE,"http://pbs.twimg.com/profile_images/944213424929730560/VutRUEbi_normal.jpg"
"1 Random follower of ours will be selected to receive a free PC signed by bill gates when we reach 1 million followers! #sweepstakes",65866,6930,8476,6490,"https://t.co/xH0mX0vlI2","USA Customers","2013-11-12 18:39:10",FALSE,FALSE,"usacustomers","USA ","en",2190845029,419,FALSE,"http://pbs.twimg.com/profile_images/480095535722803200/S4xJAkn0_normal.png"
"Naturally-minded mom of 2 perfect boys. Gluten-Free. Paleo/Primal. Crunchy living. Blogger. Youtuber.",21907,3464,15099,2182,"https://t.co/PtLl0rHkZS","Savannah","2015-07-13 09:32:28",FALSE,FALSE,"HowHesRaised","South Carolina, USA","en",3373697063,302,FALSE,"http://pbs.twimg.com/profile_images/747494652836745220/o241_4Yn_normal.jpg"
"Writer. Reviewer. Tester. Mining the web for intriguing, inspiring items re: health, food, beauty & writing.  https://t.co/XQr477VW65",6287,3504,9702,2879,NA,"Honest Tree","2016-05-27 19:20:55",FALSE,FALSE,"HonestTree1","USA","en",736276011818618880,278,FALSE,"http://pbs.twimg.com/profile_images/736353247384997888/OWslx_wv_normal.jpg"
"Blackout Coalition: https://t.co/8y3JoTsALp
Instagram: https://t.co/UFkQbPNoMQ
Facebook: https://t.co/757iXKqIbq
#BuyBlack #BankBlack",66367,5342,10789,1691,"https://t.co/cH30JFIN9U","BLACK CENTRAL™","2012-03-18 19:59:10",FALSE,FALSE,"goblackcentral","OHIO | USA | WORLDWIDE","en",528799852,170,FALSE,"http://pbs.twimg.com/profile_images/550728537523507200/1Den27cV_normal.jpeg"
"100% Trump",85074,5792,19542,5820,NA,"Richard T","2015-12-06 19:35:08",FALSE,FALSE,"Richieamx","Missouri, USA","en",4397021841,150,FALSE,"http://pbs.twimg.com/profile_images/713431969619697664/qeBS0nat_normal.jpg"
"local 3 member since 1980",69052,473,36335,485,NA,"Michael Vicario","2014-03-16 20:11:35",FALSE,FALSE,"vmike62","New York, USA","en",2416010464,1,FALSE,"http://pbs.twimg.com/profile_images/919543272128811008/Gfada6ZW_normal.jpg"
"Public servant giving maximum effort since 1993. C shift. Opinions expressed are my own. #ITMFA",2370,83,4378,504,NA,"PNWmedic","2018-01-10 18:38:24",FALSE,FALSE,"pnwmedic","Upper Left, USA","en",951161316340715520,0,FALSE,"http://pbs.twimg.com/profile_images/970118926448304129/2eOJt275_normal.jpg"
"",54,7,111,13,NA,"April Reinert","2016-08-21 02:42:11",FALSE,FALSE,"aprilehealth","Maryland, USA","en",767190030578089984,0,FALSE,"http://pbs.twimg.com/profile_images/821546879041343492/CQay5I1o_normal.jpg"
"UNLV. journal·ist. digital content producer @reviewjournal. Jayhawks. Chiefs. Royals.",23805,556,348,107,"https://t.co/ifPo45CiM1","Tara Mack","2011-06-16 21:54:46",FALSE,FALSE,"tmackwrites","Las Vegas, USA","en",318686975,4,FALSE,"http://pbs.twimg.com/profile_images/870061390580424704/PnJUKr38_normal.jpg"
"project  management @RedSandProject, feminist and activist, optimistic DC  teams lover, soup enthusiast",3099,37,3054,851,NA,"Lizzie Horne","2016-03-09 19:13:30",FALSE,FALSE,"LizzieHnroe","Maryland, USA","en",707645505220820992,2,FALSE,"http://pbs.twimg.com/profile_images/734325377099649025/XZUrE766_normal.jpg"
"Being an adult is hard enough. Being a millennial adult in a crisis? Tragic. #EmergencyPreparedness #Ready #GetPrepared #NotScared",879,20,78,345,NA,"The Ready Millennial","2017-06-11 03:21:51",FALSE,FALSE,"ReadyMillennial","Florida, USA","en",873742043192860672,0,FALSE,"http://pbs.twimg.com/profile_images/907171762520997888/RqBGoJOP_normal.jpg"
"#cellularcosmology #skycentrism <ed><U+00A0><U+00BD><ed><U+00B2><U+008E>Star in a jar. Married, gov+politics, Pro medical freedom in all of it's forms. #novaccines #prolife and #MAGA <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> #AMERICA",3670,1151,12874,1514,NA,"Irma Arts","2016-11-16 03:59:46",FALSE,FALSE,"irmalynntracy","Oregon, USA","en",798737295750754304,2,FALSE,"http://pbs.twimg.com/profile_images/953855602383470592/9IDSvjp__normal.jpg"
"CU Pharmacy School Professor turned VA Antimicrobial Stewardship Pharmacist- Durham VA Healthcare System",936,257,54,307,NA,"Mary Townsend","2013-09-30 20:40:01",FALSE,FALSE,"MaryTownsend503","Chapel Hill, NC, USA","en",1921248674,8,FALSE,"http://pbs.twimg.com/profile_images/964011279768866817/ebcjh-Iv_normal.jpg"
"Hosted by @MarcoWerman. We're in your ears five times a week, offering news, features, interviews, and music from around the globe. Say hello!",48393,33999,7399,1773,"https://t.co/v9aHfsttY0","PRI's The World","2008-02-14 22:18:56",FALSE,TRUE,"pritheworld","Boston, MA, USA","en",13492102,1575,FALSE,"http://pbs.twimg.com/profile_images/501788981239902208/s4ypjiLD_normal.jpeg"
"Mom who <U+2764><U+FE0F>my kids,husband, grandchild,God&guns,Constitution, Freedom,Independence,supports the Red,White&Blue! I vote for the person not party #MAGA +++",145934,13842,20005,4026,"https://t.co/bZ2OUAmtIn","patriotMOMsays#releaSETHememo","2009-04-28 04:49:47",FALSE,FALSE,"2christian","Texas, USA","en",35929206,41,FALSE,"http://pbs.twimg.com/profile_images/947628091274297344/Zu3BFTrI_normal.jpg"
"Stand for God, family and Country. Support my President! <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>MAGA<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> Time to drain the Swamp!",5901,1231,10847,1967,NA,"Kathy d","2014-07-13 04:17:01",FALSE,FALSE,"kat1202dem","New York, USA","en",2705236180,1,FALSE,"http://pbs.twimg.com/profile_images/957353149710430209/jDtXISYi_normal.jpg"
"I am an American Patriot who loves God and Country.
#Patriot
#Constitution
#MAGA
#IlovePresidentTrump 
#SaveTheChildren 
#TheGreatawakening 
#QAnon 
#TheStorm",1287,110,1295,216,NA,"Kentucky Girl 7","2018-01-18 02:54:48",FALSE,FALSE,"7Kentucky","Kentucky, USA","en",953747456713547776,1,FALSE,"http://pbs.twimg.com/profile_images/953792782732230656/XpEsSl70_normal.jpg"
"#Christian #RaptureBeliever from #Texas Followed by @AbbottCampaign @JamesRosentv @ChiefDavidBrown @toddstarnes & @realdailywire #TheStorm",18666,4799,20058,5263,NA,"Melissa","2013-08-23 16:39:23",FALSE,FALSE,"onebigsister","Texas, USA","en",1693763233,40,FALSE,"http://pbs.twimg.com/profile_images/964559996456488961/bDWG2WAQ_normal.jpg"
"God•Family•Country•Guns Lifetime NRA member #AmericaFirst #Trump #MAGA #ProLife #Military #BlueLivesMatter Happy to be followed by @GenFlynn & @cvpayne",43912,10500,27911,6415,NA,"<ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>PooberKitty<U+2764><U+FE0F>","2016-03-15 07:53:38",FALSE,FALSE,"PooberKitty","Texas, USA","en",709588340840865792,62,FALSE,"http://pbs.twimg.com/profile_images/749066135614550016/jrKK42tS_normal.jpg"
"George Mason Biodefense: Where Science Meets Security",5060,907,4662,257,"https://t.co/OYEULyMYea","The Pandora Report","2012-04-19 19:02:56",FALSE,FALSE,"PandoraReport","Fairfax, Virginia, USA","en",557784956,56,FALSE,"http://pbs.twimg.com/profile_images/759849365401837568/cgHc-OaV_normal.jpg"
"Dad, Microbiology Scientist, Philosopher, Globalist, Visionary of an extraterrestrial humankind.",7471,25,4845,91,NA,"Livier I Gonzalez Cordero","2017-09-13 20:20:14",FALSE,FALSE,"livier_i","Puerto Rico, USA","en",908002390498050048,0,FALSE,"http://pbs.twimg.com/profile_images/947886257232683008/I0DFX2LM_normal.jpg"
"Vamanos!",144,23,1338,96,NA,"rw_hall","2008-07-13 02:30:17",FALSE,FALSE,"rw_hall","New Mexico, USA","en",15408743,0,FALSE,"http://pbs.twimg.com/profile_images/343241798/Photo_47_normal.jpg"
"<U+2728>#MAGA<U+2728>I see God at work in America and it’s only just begun!! Thank you #Jesus",6988,234,6382,702,NA,"Shannon","2011-08-30 00:04:28",FALSE,FALSE,"fulfordshannon","Florida, USA","en",364455038,0,FALSE,"http://pbs.twimg.com/profile_images/953346647148388352/FDbJa0FA_normal.jpg"
"Proud American. U.S. Navy & Cold War Vet. Educated-summa cum laude. Happily married for 38 years! Gun owner. TRUMP IS MY PRESIDENT! State of Jefferson!",77258,5254,68949,5321,NA,"DeplorableLori","2011-10-08 23:03:42",FALSE,FALSE,"ski95252","California, USA","en",387265077,83,FALSE,"http://pbs.twimg.com/profile_images/893486821509742597/5NEvwC0Z_normal.jpg"
"nothing but the truth #MAGA #Trump Train #POTUS #AmericaStrong#NRA Christian conservative,#Nascar #TheGreatAwakening#WeThePeople#ReleaseTheCures",37581,3314,9433,3929,NA,"#BlameGameAgain","2017-07-06 00:45:34",FALSE,FALSE,"SteveZmann","Illinois, USA","en",882702011875110912,6,FALSE,"http://pbs.twimg.com/profile_images/944946651483041794/pNA9ALSd_normal.jpg"
"Just An AMERICAN Who Believes and Loves God the USA and Unity of the Righteous!!! #No Porn. #MAGA<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>Trump 2020",6533,3356,5088,4963,NA,"Me","2017-10-11 13:55:57",FALSE,FALSE,"Me31252250","USA","en",918052540998135808,0,FALSE,"http://pbs.twimg.com/profile_images/957268612355682305/vNrdEhvA_normal.jpg"
"#CHRISTIAN #TRUMP #ProLife #2A #CONSERVATIVE #MAGA Also on gab https://t.co/SywyDgtBRX",59816,9786,42241,10732,NA,"Constance R","2016-01-26 05:29:17",FALSE,FALSE,"constance_813","USA","en",4847424813,19,FALSE,"http://pbs.twimg.com/profile_images/717869573416951808/IFrwF4ze_normal.jpg"
"RT animals @shelters/rescue organiz. so aren't euthanized-#Chewy.com #MustLoveDogs #saveshelteranimals #MAGANUCLEAR #MAGATX #Consfront,Followed by Gen.Flynn",170331,12614,152771,13786,"https://t.co/iOYH3QVD8Q","Lisa #MAGA","2009-06-26 07:59:26",FALSE,FALSE,"lisareiss","Texas, USA","en",50913224,127,FALSE,"http://pbs.twimg.com/profile_images/283146573/I_LOVE_ROOS_normal.jpg"
"student & unfortunate @buffalobills fan. i follow people on both political spectrums for opinions. #bills #sabres #yotes",264,190,388,1070,NA,"Robert Cervesa","2015-11-29 02:56:42",FALSE,FALSE,"robertcerasa","USA","en",4392378872,4,FALSE,"http://pbs.twimg.com/profile_images/823735425143443456/UyuKaZjL_normal.jpg"
"https://t.co/H0wrf0qk28",1925,9289,3009,2114,"https://t.co/nfCrVhoU6L","0HOUR1","2012-07-30 05:36:31",FALSE,FALSE,"magaforamerica","Georgia, USA  Citizen Journalist 1st Amendment","en",725012832,47,FALSE,"http://pbs.twimg.com/profile_images/971803996477259776/EVtgavgD_normal.jpg"
"Science policy, STEM, and equality advocate. Infectious disease and global health enthusiast. Here for science news and interesting tidbits. Tweets are my own",7907,607,13871,1095,NA,"Amy Kullas, Ph.D.","2016-02-08 06:18:52",FALSE,FALSE,"Amy_Kullas","District of Columbia, USA","en",4886330115,47,FALSE,"http://pbs.twimg.com/profile_images/774284547345309696/_EwLjX0b_normal.jpg"
"Essential news & views for the global health community from @JohnsHopkinsSPH.",4911,9609,1149,592,"https://t.co/oyMHynd9Y4","Global Health NOW","2015-03-25 16:31:35",FALSE,FALSE,"ghn_news","Baltimore, MD USA","en",3114721961,121,FALSE,"http://pbs.twimg.com/profile_images/775331242795470848/MaPBw_Jp_normal.jpg"
"My<ed><U+00A0><U+00BD><ed><U+00B2><U+0098>was given to me, I did not pick it, it picked me. My Creator decided how it is going to be, I try to ride with it clean, my<U+2764> & all I mean",22015,52,6358,232,NA,"Myshell Webster","2012-10-22 18:32:53",FALSE,FALSE,"Myshellanne","USA","en",897709878,1,FALSE,"http://pbs.twimg.com/profile_images/967779761257775104/4jkv5T3k_normal.jpg"
"Clinging to the Bill Of Rights

#NaturalLaw",56397,1279,12897,1635,NA,"A K","2015-04-07 15:23:42",FALSE,FALSE,"crosshairsonyou","USA","en",3143511569,239,FALSE,"http://pbs.twimg.com/profile_images/941479623195537408/azcChTBH_normal.jpg"
"Program director at the Social Science Research Council. Sr. fellow at LSE. Political scientist and student of the great Congo, its neighbors, and UN peace ops.",1484,983,1143,381,"https://t.co/WX7gWAo5J4","Tatiana Carayannis","2009-01-28 22:02:57",FALSE,FALSE,"TCarayannis","New York City, USA","en",19662035,40,FALSE,"http://pbs.twimg.com/profile_images/854724049154473986/7JMlcBpn_normal.jpg"
"Dedicated public policy consultant and advocate with a passion for global health and humanitarian rights issues. Je twitte en français et en anglais.",4000,1723,2861,1256,"https://t.co/5imJ8w1Vpx","Cher Gonzalez, JD","2015-09-10 22:15:01",FALSE,FALSE,"GonzGovConsult","California, USA","en",3518087726,92,FALSE,"http://pbs.twimg.com/profile_images/642041244143628288/Q_5KGiDh_normal.jpg"
"MyAutisticSon & I R 15Yr UnwittgVictimSURVIVORS of<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>Govmt ImproperlyClassified-Unconstitutional Remote #BCI TortureEXPERIMENTS #TI #TargetedIndividual #Autism",17815,1275,8657,2317,"https://t.co/696hbvdIZV","IamAristotle","2010-10-19 07:07:53",FALSE,FALSE,"Aristotle1865","PoliceState-Nuremberg AURORA, #IL #USA","en",204623129,52,FALSE,"http://pbs.twimg.com/profile_images/378800000085016911/a2c81d6a960acd349b08537e9a7ab02b_normal.jpeg"
"If I Were The DEVIL ...         

      by Paul Harvey   <U+2606> 1965 <U+2606>
https://t.co/SVnQNpoPzk",78586,1414,64219,983,NA,"<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>CaseySprout<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>","2013-10-10 03:36:28",FALSE,FALSE,"Caseysprout","Oregon, USA","en",1950315650,178,FALSE,"http://pbs.twimg.com/profile_images/954937711118266368/SU7EWPbI_normal.jpg"
